Continent,Subregion,Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Europe,Eastern Europe,Poland,POL,855,776,716,662,633,555,490,525,460,493,436,449,377,296,282,287,256
Europe,Eastern Europe,Moldova,MDA,433,411,401,319,277,296,262,217,236,246,267,304,229,169,130,,
Europe,Eastern Europe,Romania,ROU,581,597,563,551,516,453,438,416,470,397,404,335,378,336,298,291,247
Europe,Eastern Europe,Russia,RUS,"41,090","42,921","44,252","41,764","39,256","35,636","28,844","25,377","23,738","21,371","21,371",,,"15,763","16,260","16,519","15,561"
Europe,Eastern Europe,Slovakia,SVK,129,118,121,137,108,93,82,82,86,78,82,88,63,71,69,44,57
Europe,Eastern Europe,Ukraine,UKR,"4,418","4,854","4,296","4,041","3,487","3,030","2,958","2,646","2,466","2,240","1,988",,"2,336",,"2,845",,
Europe,Northern Europe,Channel Islands,,,,,,,1,2,,1,, -   ,,,,,,
Europe,Northern Europe,Denmark,DNK,58,52,56,65,43,53,29,39,54,47,42,46,47,48,73,56,56
Europe,Northern Europe,Estonia,EST,143,137,142,147,91,113,91,96,86,70,70,65,63,52,41,42,
Europe,Northern Europe,Finland,FIN,148,156,132,103,148,119,119,129,133,120,119,110,88,89,88,82,78
Europe,Northern Europe,Iceland,ISL,5,1,4, -   ,3,3, -   ,2, -   ,1,2,3,1,1,2,3,1
Europe,Northern Europe,Ireland,IRL,37,52,52,37,30,52,62,78,50,56,53,42,53,52,52,29,38
Europe,Northern Europe,Isle of Man,IMN,,,,,,,,,,,,1,2,2,3,1, -   
Europe,Northern Europe,Latvia,LVA,238,219,214,202,181,126,128,94,99,108,70,69,70,50,64,67,
Europe,Northern Europe,Lithuania,LTU,370,353,293,344,343,372,288,277,298,252,219,211,202,198,159,172,153
Europe,Northern Europe,Norway,NOR,48,37,46,51,36,33,33,30,34,29,29,111,27,46,29,24,27
Europe,Northern Europe,Sweden,SWE,96,87,101,85,107,83,91,111,82,93,91,81,68,87,87,112,106
Europe,Northern Europe,UK,GBR,915,966,"1,107",926,950,834,860,873,762,706,756,641,627,603,590,649,791
Europe,Southern Europe,Albania,ALB,131,220,216,166,131,154,95,105,93,85,127,142,157,124,117,66,79
Europe,Southern Europe,Andorra,AND,,,,,1,,, -   ,1, -   , -   ,1, -   , -   , -   , -   ,
Europe,Southern Europe,Bosnia and Herzegovina,BIH,99,82,90,,68,70,73,66,66,71,56,51,63,46,50,57,45
Europe,Southern Europe,Croatia,HRV,101,81,73,69,83,68,74,62,71,49,62,49,51,46,36,37,44
