Subregion,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Western Asia,Cyprus,0.8,0.7,0.2,1.4,1.6,1.9,1.4,1.2,0.8,1.7,0.7,0.8,1.9,1,1,1.3,1.1
Western Asia,Georgia,5.1,5.6,6.3,6.6,6.6,9,7.3,7.5,6.1,4.9,4.4,,,,2.7,,1
Western Asia,Iraq,,,,,,,,,15.8,8.5,8.7,8.3,8.2,9.9,,,
Western Asia,Israel,2.4,3.6,3.6,3.1,2.7,2.5,2.7,1.8,1.9,1.8,2,2,1.7,,1.5,1.4,
Western Asia,Jordan,,,,,,1.2,1.7,1.8,1.8,1.5,1.6,1.9,2,1.7,2,1.7,1.5
Western Asia,Kuwait,,1.8,1.1,1.3,1.9,1.8,1.9,2.4,1.4,1.7,2,1.8,1.8,,,,
Western Asia,Lebanon,,,,,,,,,4.5,3.5,3.8,3.7,3.9,4.5,4.3,3.9,4
Western Asia,Oman,,,1.2,1.5,1.7,2.1,4.7,1.4,1.7,1.3,1.6,1.1,1.1,2.6,0.7,,
Western Asia,Qatar,0.2,0.8,,,0.7,0.7,0.5,0.8,0.9,0.5,0.2,0.2,0.3,0.4,0.4,,
Western Asia,Saudi Arabia,0.8,1.1,1.3,1.1,1.3,1.2,1,1,,,,,,,,1.5,
Western Asia,Palestine,,,,2.7,2.7,2.4,,,1.2,1.1,0.8,0.6,0.6,0.5,0.8,1,0.7
Western Asia,Syria,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.7,2.6,2.3,2.2,,,,,,
Western Asia,Turkey,,,,4.3,4.3,4.9,4.6,5.2,4.6,5.2,4.2,4.2,4.3,,,,
Western Asia,United Arab Emirates,,,,1.2,0.7,1.2,0.7,,,,0.8,0.6,0.8,0.6,0.7,0.7,0.9
Western Asia,Yemen,3.9,,,3.6,3.2,4.6,4.2,3.9,3.9,4.3,4.7,5.7,6.5,6.7,,,
Eastern Europe,Belarus,10.2,9.8,10.1,9,8.4,8.6,7.7,6.8,5.7,5.1,4.2,3.9,3.6,3.5,3.6,,
Eastern Europe,Bulgaria,4.2,3.9,3.2,3.2,3.2,2.6,2.4,2.3,2.3,2,2,1.7,1.9,1.5,1.6,1.8,1.1
Eastern Europe,Czechia,1.8,1.4,1.5,1.6,1.3,1.1,1.3,1.2,1.1,0.9,1,0.8,1,0.8,0.8,0.8,0.6
Eastern Europe,Hungary,2,2.5,2,2.2,2.1,1.6,1.7,1.5,1.8,1.4,1.4,1.5,1.3,1.6,1.5,2.3,2.1
Eastern Europe,Poland#,2.2,2,1.9,1.7,1.6,1.4,1.3,1.4,1.2,1.3,1.1,1.2,1,0.8,0.7,0.8,0.7
Eastern Europe,Moldova,10.3,9.8,9.6,7.6,6.6,7.1,6.3,5.3,5.7,6,6.5,7.5,5.6,4.2,3.2,,
Eastern Europe,Romania#,2.6,2.7,2.6,2.5,2.4,2.1,2.1,2,2.3,1.9,2,1.7,1.9,1.7,1.5,1.5,1.2
Eastern Europe,Russia,28.1,29.4,30.5,28.9,27.3,24.8,20.1,17.7,16.6,14.9,,,,11,11.3,11.5,10.8
Eastern Europe,Slovakia,2.4,2.2,2.2,2.5,2,1.7,1.5,1.5,1.6,1.4,1.5,1.6,1.2,1.3,1.3,0.8,1
Eastern Europe,Ukraine,9,10,9,8.5,7.4,6.5,6.3,5.7,5.3,4.9,4.3,,5.2,,6.3,,
Northern Europe,Channel Islands,,,,,,0.6,1.3,,0.6,, -   ,,,,,,
Northern Europe,Denmark,1.1,1,1,1.2,0.8,1,0.5,0.7,1,0.9,0.8,0.8,0.8,0.9,1.3,1,1
Northern Europe,Estonia,10.2,9.8,10.3,10.7,6.7,8.3,6.7,7.1,6.4,5.2,5.3,4.9,4.8,3.9,3.1,3.2,
Northern Europe,Finland,2.9,3,2.5,2,2.8,2.3,2.3,2.4,2.5,2.2,2.2,2,1.6,1.6,1.6,1.5,1.4
Northern Europe,Iceland,1.8,0.4,1.4, -   ,1,1, -   ,0.7, -   ,0.3,0.6,0.9,0.3,0.3,0.6,0.9,0.3
Northern Europe,Ireland,1,1.3,1.3,0.9,0.7,1.2,1.4,1.8,1.1,1.2,1.1,0.9,1.1,1.1,1.1,0.6,0.8
Northern Europe,Isle of Man,,,,,,,,,,,,1.2,2.5,2.4,3.6,1.2, -   
Northern Europe,Latvia,10,9.3,9.2,8.8,7.9,5.6,5.8,4.3,4.6,5,3.3,3.3,3.4,2.5,3.2,3.4,
Northern Europe,Lithuania,10.6,10.2,8.5,10.1,10.1,11.1,8.7,8.5,9.3,8,7,6.9,6.7,6.6,5.4,5.9,5.2
Northern Europe,Norway,1.1,0.8,1,1.1,0.8,0.7,0.7,0.6,0.7,0.6,0.6,2.2,0.5,0.9,0.6,0.5,0.5
Northern Europe,Sweden,1.1,1,1.1,0.9,1.2,0.9,1,1.2,0.9,1,1,0.9,0.7,0.9,0.9,1.1,1.1
Northern Europe,UK,1.6,1.6,1.9,1.6,1.6,1.4,1.4,1.4,1.2,1.1,1.2,1,1,0.9,0.9,1,1.2
